9.0|#|Generally easy to use, but still learning the different functions. Picture quality is superb.|#|I bought it to cover both stills photography and videography. The pop-out screen is fine, but in strong light it is difficult to see the moving image, and you cannot use the viewfinder as an alternative. Otherwise very good quality results.
8.0|#|Very easy to make adjustments without the need to go through loads of menus. Very easy to use, packed full of features and good screen. touch screen comes in useful, didn't think it would, but I like it.|#|Body feels cheap and light plastic, although there is a coating that helps with grip, the camera feels light and fragile, probably is tougher than it feels. I wouldn't take this out without it being bagged up most of the time.
10.0|#|I bought this camera after trawling through a lot of reviews and I am not disappointed. Can't beat it for the price.|#|
9.0|#|All good bar one|#|No Wi-Fi
10.0|#|SO EASY TO USE EVEN FOR A NOVICE  I HAVE ALWAYS USED  A CANON CAMERA|#|NONE AT ALL
9.0|#|great amatuer camera, not overly complicated and intuitive to use|#|all good.
10.0|#|Very capable of 'Point and Shoot'|#|Not enough time in the day to use this superb camera
10.0|#|It's very easy to use on both auto and manual setting. Manipulating images on playback is great and the software that comes with the camera covers everything you might need.|#|
10.0|#|Fantastic camera for the price :-) was the best deal on line :-) came with an additional battery, which is the only company to supply this offer. Was also the bonus of the £50 cash back through Canon :-) would thoroughly recommend to anyone who is thinking of buying a Canon and doesn't know what model to buy and where from :-) superb all round camera ;-) so much still to learn and mastering the camera is something of a challenge but one I'm looking forward to completing to be able to get the ultimate best from this truely superb camera :-) previous owner of Canon camera but never believed I would own a 700D :-)) one very lucky happy girl|#|
10.0|#|A great DSLR camera. Plus I got it when there was another £50 off so with the Canon £50 offer I saved £100.|#|None.
10.0|#|Everything|#|None
10.0|#|Fantastic camera for just getting into photography ! Great bit of kit !|#|Nothing to report yet ??
9.0|#|Features to take different photos, excellent quality on  movies.. Still in learning mode as there are lots of settings to go through.|#|Not discovered yet. May buy a stronger tele lena for outdoor activities.
10.0|#|I imagine even if you had no experience with DSLRs! I love the FPS - bought it for a weekend at a dark (or artificially lit) exhibition with lots of moving subjects, and it took some superb photos|#|
9.0|#|If you take many family or other portraits, save up for a 430 EX II flash which is an excellent match with this camera.  Bounce flash gives great results.|#|Only annoying thing when working in theatres under difficult lighting conditions is the limited exposure lock feature.  The * button is OK but fiddly and it should be possible to lock it with the shutter half pressed in all modes, not just 'evaluative' metering.
9.0|#|Overall a very good camera, excellent image quality for enter level DSLR camera|#|It came without serial numbers which is very strange
8.0|#|screen display of all operations|#|none found so far but I have only had the camera for 1 week
8.0|#|The image quality is amazing! And I love how lightweight it is. Carrying it around feels effortless. Perfect for long shooting days that involve going to different locations.|#|It shoots for around 4 hours non-stop, which is actually really good in comparison but something to keep in mind. And also, it has a 'self-close' feature when its not being used for a bit, which does get quite irritating, and right now there doesn't seem to be an easy way of removing that
1.0|#||#|The camera is a gray import and
