9.0|#|Great camera! Solid, well built and such a beautiful design. EVF is brilliant.  Great vari-angle monitor and a wealth of features. Highly configurable for personal preference and not too complex to get around the features. The body is a little small for my big hands but an ECG-2  or a HLD-8G or HLD-8 grip sort this issue. A joy to hold and use. With good lenses this camera is producing stunning results for me at a faction of the size and weight of my old Canon EOS bodies and EF lenses.|#|Battery-life is not great. The tracking AF is mediocre (although I'm coming from a Canon EOS 7D so my expectations in this department are high).  I can live with both of these issues, no problem.
8.0|#|-design of the camera body|#|-difficult user interface
10.0|#|Good bits .it takes a lovely  picture .clear sharp.the art mode is really good too .in fact the whole camera is amazing|#|No dislikes
10.0|#|I would have to say shooting video on a camera, I can use my lenses from my other Olympus camera with the converter ring. Tilt and turn touch screen.|#|Not had chance to use the camera properly yet, so nothing bad as yet.
10.0|#|Feels and looks great|#|Not at this price
10.0|#|Have used Olympus cameras since 1980's have always found them to be very good|#|No
10.0|#|Small discrete and very customisable.|#|Could be too small for larger hands.
8.0|#|Smaller and lighter than I imagined, which is a big plus for someone not looking to lug around a load of heavy gear.|#|Menu system was a little fiddly. Took me a while to find how to turn on RAW.
10.0|#|I have been waiting for Olympus to come up with a digital equivalent of my OM film cameras for some time. The E-M5 mkII fits the bill. The camera fits my hands like an OM-1, it is very easy to use, the front and rear dials in a basic mode provide the primary exposure adjustments. There are then a host of other options available. It's great1|#|
8.0|#|I liked the LCD screen which was articulated!|#|
10.0|#|So much lighter than my old slr, solid build and beautiful looking camera.|#|So far, need to get used to the electronic view finder and all the menu choices .
10.0|#|I was amazed at the quality of the images , the camera is nice and light and you don't get the heavy weight of a camera hanging round your neck like a Dslr|#|A couple of things to point out are the buttons to the side of the screen can be accidently pushed while taking a shot using the EVF, and noise begins to show at 400 iso
9.0|#|WiFi features are great to use whilst travelling to instantly edit and share your photos.|#|Not so much a bad point but it does take a little bit of time getting used to the size if you are migrating from a DSLR.  I went from a D2x to D300 to EM-10.
9.0|#|Haven't used it for long but so far love it for wandering round with. Much easier than lugging my Nikon D7000 around. Wouldn't give up my Nikon though|#|In camera menu's a bit daunting at first, but once used to it, straight forward
10.0|#|There are so many good points about this camera. The size , the features, the amazing ability to take night shots with great results due to it's advanced Mirrorless system.|#|Nothing yet.
8.0|#|Beautiful small marriage of hardware and software engineering. A superb small interchangeable lens camera with a viewfinder and excellent image quality.|#|expensive, but worth it.
10.0|#|I've only used this for about a week, and have so far found nothing that I have been disappointed with. The image quality is superb and if you are looking for something that you can use out of the box - this is it. I wanted excellent images combined with easy use - this camera for me sums it up.|#|
10.0|#|Quality of shots, and the ease of use (as someone who is making the step up from a single lens camera). It's also small enough to carry around easily. I love this camera, and would recommend it to anyone looking for quality at the right price.|#|I haven't found anything I don't like yet.
10.0|#|I deliberated over this and a DSLR as a step up from a point and shoot for months and finally went for this based on it being compact and my requirements mostly being street photography and travel. I don't regret my choice.  The camera is aesthetically beautiful, image quality is fantastic, and I'm enjoying learning how to use the different functions.|#|The menu and settings are vast. Though I'm slowly learning and figuring it out as I go
10.0|#|Easy to use. Very pleased   with image quality so far. Will have a better opinion after heavy use on forthcoming holiday.|#|None so far.
9.0|#|Easy and ligh to carry what is special great when you are travelling|#|Is not cheap... (But worth the price)
10.0|#|It have all The features of most DSLR cameras but in compact size.|#|Lenses quite expensive and their build quality could be a little bit better
9.0|#|And features|#|None
10.0|#|Small and relatively lightweight. Takes fantastic images, even with the kit lens|#|None
9.0|#|Easy to use. Compact and relatively light. Plenty of features allowing a budding photographer to develop their skills.|#|The screen doesn't swivel forward but otherwise no bad points.
10.0|#|Wonderful picture quality|#|Olympus batteries are very expensive; buy a copy for a spare.
10.0|#|For a camera with a small sensor (micro 4/3), the image quality is very good. Lenses for this system are tiny compared to full frame stuff. The Live Composite is a brilliant idea, and I can't wait to test it out fully. Built in image stabilisation, and sensor cleaning is something my current pro bodied D3 doesn't have and is nice.|#|After using Nikon pro bodies (D2x and D3) for years, the Olympus is tiny. I always loved the fact that when you pick up a large camera you know it is gonna take the knocks, and being weather/dust sealed they go on and on. The Em10 is not, so we'll see how it fairs over the years. But on a plus, I'm getting used to being able to take it everywhere with me all the time. Something you don't always do with the big Nikons!
9.0|#|Ease of use|#|The viewfinder rubber shroud came off and was lost
10.0|#|jpegs] now i just need to do raw and then convert, wifi them over to mobile and print on mini printer...brilliant|#|would like the weather sealing. also prefer custom buttons [ie custom 1 custom 2 ect] on the mode dial, rather than the current mysets, which i have to try and set up on the mode and then remember which myset is for which setting
9.0|#|easy to use|#|manual too big to print off
10.0|#|Finally the wifi has blown me away. I use it on both iPad and iPhone, so compatible, a good combo for holidays|#|Non reversible screen paranoid scratching it..
9.0|#|Superb build quality, image quality, wealth of options|#|Menu  / settings can be a bit overwhelming
9.0|#|Much smaller and lighter than a DSLR, but still easy to hold with large hands. The camera is easy to use and great in low light. I also find the tiltable LCD of high quality.|#|The menu system isn't as easy as my Fuji camera - although the touchscreen helps with that a bit.
9.0|#|Robust build.|#|Not intuitive to set up.  They should have spoken to Apple.
9.0|#|Purchased this camera at Christmas and have been unable to put it down ever since . The camera is fantastic really easy to use takes great pictures ,compact and very stylish overall a great peace of kit'that looks really good .plus great back up from olympus.|#|None
10.0|#|Absolutely love this little camera. Does everything a bigger SLR does, but in a small compact system. Everything you want if you're an amature or intermediate user, wanting something easy going and easy to carry around, this is it!|#|Nothing.
8.0|#|Excellent balance between size and imag quality|#|None
8.0|#|Live time and live bulb are amazing for light painting. That was the thing that swung it for me. Oh, and WiFi controls by android.|#|Impenetrable menus, fiddly buttons
9.0|#|After a Nikon camera the E-M10 is just such a great size! It has all the features (and more) of the Nikon, but without that big SLR feeling. The focusing is lightening fast  and the pictures even in low light are fantastic.|#|No real downside. Only thing I would point out is the Jesop version doesn't come with the pancake lense!
10.0|#|Good in low light situations (eg illuminated street scenes after dark)|#|None really, but because there's so much to this camera, getting the best out of it can be a steep learning curve. PDF manual (on the supplied disk) is good though.
10.0|#|Superb image quality and high iso performance. Excellent auto-focus performance even in very  dim light conditions. 9 frames a sec. that's fast, viewfinder very good and clear, works fine and very useful to operate in very light conditions. Stylish  retro design is a must and together with a sturdy and robust build quality makes this camera an exceptional device. Solid and a joy to use. Matches my canon 7D image quality, fact. Iso 1600, 3200, 6400 are excellent. This time Olympus really level up the game. I love my OM-D|#|
9.0|#|This camera is one damn good camera. I purchased to become my secondary camera; however, the way it handles it may become my first camera and my DSLR will become the secondary camera. I have used it on one pro job and it performed brilliantly; I was taking a real chance using it, as if it hadn't - then I would have upset my client and lost quite a bit of money and as a professional photographer, I don't want to do that.|#|I don't like the flash and think the other flashes are quite expensive compared to other brands. That said - they could be worth it.
10.0|#|light but a fully featured DSLR.|#|Only slight down side is that two of the buttons on the back are a little small, but I soon got used to them.
8.0|#|A worthy camera to carry the OM tag. Look, feels and performs as an OM should.|#|Complex menus can be difficult and slow to navigate. Autofocus can't deal with many landscape shooting situations.
9.0|#|It is a camera that can be adapted to most shooting styles. From the range of lenses, the range of features, to the use of shooting from the hip or through the viewfinder. It is a solid build for a small camera, and it does not feel 'delicate' in your hands like a 'fumbly' little compact. The picture quality is, for it's size, one of the best i've seen. It's obviously never gonna be up there with the dlsr in picture quality, but for it's size it is amazing, and with the build and shooting experience, i've gone for this over my dslr a few times.|#|The only thing that has recently annoyed me is the sensor for switching on the view finder, if shooting from the hip and you hold the camera too close, the screen will go off.
10.0|#|The camera is light, robust, and easy to use which combined with superb lenses and excellent image quality gives rise to a compelling piece of kit that you simply want to take with you everywhere.|#|The size of the 4/3rds sensor is often listed as a bad point. However this is completely outweighed by the benefits of the size of lenses (for the focal lengths).
10.0|#|Direct control of aperture and shutter speed via control wheels which are perfectly placed near shutter release.  Clear view of what you are doing in the viewfinder.  EVF a lot better than I expected.  Extremely fast autofocus for capturing images of my grandchildren.  Build quality feels just like a 1980's camera. Rear screen extremely sharp with a choice of live view or displaying camera settings if you are using the viewfinder.  Extremely compact design, not a lot bigger than my old Canon G7.|#|Very quit whirring type noise which comes from the cameras stabilisation mechanism, get used to it but its there.
10.0|#||#|-fan -like sound when camera on (can be only heard in quiet room though)
10.0|#|Kit lens has very good resolution|#|kit lens would benefit from being collapsable as it is quite long
9.0|#|Fast AF, weather sealing, light and well built, great image quality, very good performance up till 1600 iso. Great video shootings, with stereo sound. Very good range of several optics for MFT mount.|#|None so far, only the buttons are a little bit quirky though. And the usual, necessary comment: a wee too pricey.
9.0|#|Superb low light performance. Very compact and tough body.|#|A slight hum in use may distract but it doesnt come through on video shooting.
9.0|#|The camera is easy to use, has a really nice button layout, benefits from touch swively screen which makes getting the camera low for pictures a doddle. The camera oozes build quality yet is not that heavy.|#|It is obviously pretty expensive! Also I would not recommend the kit lens I found that it doesn't perform well in any situation unless there is plenty of light around. The rear screen looks like it could get scratched easily if walking around a fair bit, but nothing a £2 screen protector can't fix.
10.0|#|Professional camera about half the size of a DSLR. Takes amazing pictures!|#|Easy to get lost in menus, needs practice to master it.
9.0|#|Every thing is good except thr owner's manual|#|Lousy owner's manual
9.0|#|Light, compact some great lens|#|Battery life
9.0|#|Over all this camera is an awesome piece of technology .|#|To be really picky, the on off switch is small and fiddly and could be better placed.
10.0|#|splash proof makes this camera much more versatile to life on the go. Image quality is amazing better than other cameras of similar price.|#|
9.0|#|Design, weight, quality, brand|#|Nothing so far
