10.0|#|Good battery life. Easy to charge(USB Charge with small plug to charge from wall when away) . Easy to use. Nice and small. Easy to handle. Light weight. Smart mode is excellent.|#|Not the most natural grip.
10.0|#|Lots of different pre-set modes great zoom, viewfinder and screen easy to use in manual mode i.e. aperture or speed control smaller than a link camera but probably better than most|#|A camera of this quality should come with a protective sleeve or better still a proper case.  You have to use a computer to download the user manual 389 pages  takes a little while to assimilate.
10.0|#|settings, but option to choose F-stop, ISO and Shutter Speed all by yourself to add a challenge. Solidly-built camera. Electronic viewfinder. Amazing optical zoom. Beautiful, large, clear display screen.|#|None whatsoever.
8.0|#|Good quality images|#|Controls small - may be difficult to operate for persons with large hands
8.0|#|Incredible zoom; Excellent software and menus with easily understood text prompts for each feature; Light and small fits in a pocket with ease;  Have not rated image quality as I'v not had it long enough but initial results are very good.|#|Perhaps a little pricey. Spare battery definitely expensive at £25! Would have expected a dedicated charger at this price.
8.0|#|Versatility, picture quality good enough for any hobby photographer who doesn't need larger than a3 printing.|#|Needs practice to use all features, if no intention to use them may be better to by rugged point and shoot only.
10.0|#|If you want a point and shoot camera with a good optical zoom, this fits the bill. For the more creative enthusiasts, there is access to aperture/shutter modes of priority and full control of pre-focus.|#|Setting up direct printing via wifi and sending files to the pc proved a challenge to me but it is the first time I've used such facilities. The more savvy may not struggle as I did.
9.0|#|Amazing piece of kit. So light to carry and easy to use (or hard if you want to delve into all of the facilities and manual settings). I am used to using a 4/3 system SLR. People said, don't buy a compact superzoom because the cmos chip is too small....what a load of rubbish. If I were a professional I could see sense in going for a full plate type camera etc... but I'm not a professional. I win prizes in my local show and I am happy with this camera. It's sturdy and fast.|#|If it was waterproof and I could fit a polarising lens and the controls and viewfinder were a little bigger, it would be perfect. I'll have to manage. You have to be carefull that you do not bump the long lens, but that is the same for most cameras.
10.0|#|Easy to grip|#|Video button positioned a little bit too close to power button. Kept capturing feet and carpet at first.
9.0|#|Excellent specification, amazing zoom and top end lens. The build quality is excellent.|#|None found as yet.
9.0|#|Full of features, excellent lens and great zoom. Good scene and colour enhancement qualities.|#|Instructions DVD-329 pages!
9.0|#|Pocketable big zoom.|#|None. The compromises are acceptable.
8.0|#|Excellent build quality as usual from Panasonic, very good image quality and lots of features.|#|The wifi only works intermittently, occasionally it stops working completely.
9.0|#|long zoom   efv|#|none to date
8.0|#||#|The on/off control is located next to the video control. Very tricky to press correct button, have missed many vital shots because of this.
5.0|#|Has all the features you would expect and the remote operation from a phone or tablet is useful.|#|I have an earlier version of this camera and the build quality and materials used are so much better than this one. Consequently I am disappointed by the strange rubbery finish. Considering the price of this camera it should have a much better finish. In addition the screen is smaller than previous models.
