10.0|#|superb build quality and exceptional performance and image quality. as an upgrade from K200D it blew my mind|#|none
10.0|#|Excellent digital pro camera .... Works for me!!|#|Not really any I can find ....
9.0|#|Excellent build quality, weather proofed design (77 body seals), small footprint, takes all K mount lenses. Built in optical stabilisation, host of controls, takes 3rd party batteries (cheap).  OVF good, live view very good.  Nice to hold in hand. Very good ISO performance.  In my analysis and comparisons I rated this camera above Nikon D7000|#|Lenses very expensive (I've purchased 8 since xmas), LCD is not tiltable.  Range of lenses, although good, not nearly as good as Nikon/Canon.  Quite a complicated beast... need the Manual as PDF file and read it, again and again. Buying a DSLR may lead to Lens lust.
10.0|#|51200 iso creates fabulous grainy images.|#|
10.0|#|Excellent image quality (obviously dependent on lens)|#|None as yet
8.0|#|But - it could take months to really understand how to get the best from what this camera offers.|#|
9.0|#|good weight, easy to handle.|#|
10.0|#|Image stabiliser, brilliant sensor. build quality.|#|None for me. Superb kit!
9.0|#|One of the best performing sensors in any camera (DxO Mark), surprisingly compact, excellent build quality, high ISO performance is amazing.|#|Menu system could be simpler
9.0|#||#|The electronic level is way out and so are a lot of others when going to forums websites and reading about them
9.0|#|good|#|
9.0|#|Very substantial camera, good ergonomics, clear display of functions, excellent screen images, Comprehensive (printed - thank you) manual.|#|Some people may find it heavy. I don't.
9.0|#|fast focusing, lighter than some other DSLR's, compatable with previous samsung and pentax lenses,weather proof|#|early days yet
9.0|#|Mirror lock-up, Live View|#|None found so far
9.0|#|weather and dust proof body|#|shutter a bit noisy
10.0|#|Video|#|
10.0|#|Easy to use nav. Brilliant photos. Fantastic build quality|#|Slightly loud autofocus and shutter, but this isn't a problem unless you are shooting nervous wildlife or something.
10.0|#|Having being a Nikon user since the APS DLSRs were released - I recently changed over to Micro Four Thirds because of the size. Then as I missed my DSLRs - I was reading the Awards for 2012 made by the What Digital Camera which gave the Pentax K30 the best APS DSLR Award for 2012 .  Without doubt  it is a super camera - the quality of the photographs are amazing - even at 3200 ISO and the kit lens is the best I have used on any DSLR - far superior to the Nikon and Canon versions.  I would recommend this camera to any one . I also purchased the 35mm Lens which is excellent|#|I only have one at present
9.0|#|Fantastic camera at an affordable price. Mine got it for quite cheap with WR kit lens. Going good so far. If you are interested in Macro photography at an affordable cost go for the Pentax Dslr as it is capable of accepting old film lenses. good luck with your purchase|#|pretty average with movies but thats not the intended use of this camera. for occassional video shoot it will do pretty well.
10.0|#|- it comes with a very useful manual|#|- Silkypix is not very intuitive and so far I didn't find out how to really use it
10.0|#|Can use existing Pentax lenses (though some automated camera features are disabled - so what??)|#|Not possible to customise starting point for file numbering
9.0|#|The camera being weather proof really sold it to me.In a country that rains so often it's good to no I can go out in any weather and get good quality pictures|#|
9.0|#|Good menu layout|#|No proper protective cap for body so have to keep lens attached. (lens does have a protective cap)
8.0|#|Buying camera from another company, sorry.|#|none
10.0|#|Lens range, from old to new, Limited, and Weather sealed range.|#|None to date.
9.0|#|features|#|
9.0|#|A lot of specs for money|#|Get flash as pop - up is just ok ish
8.0|#|Great camera but needs and experienced user.|#|None as yet

9.0|#|If this is representative of Pentax cameras they deserve to be far more popular.|#|The 18-55 kit lens auto-focus motor is quite loud. I think I'd feel a bit self conscious using it in church or a museum.
10.0|#|Excellent starter DSLR, controls easy to access and use.|#|Nothing so far
10.0|#|Speedy start up and easy to access buttons for main features|#|Nothing so far.



10.0|#|Great for amatuers and semi-professionals alike, rates up there with Nikon and Canon.  Easy to use controls, lightweight, good range of auto and manual selection, high ISO range, good crisp images.  I love the fact that it uses both a rechargeable battery and AA's within the same compartment.|#|The shutter is quite loud.  Being a user of the viewfinder, I don't like the feature of the green light flashing on the front when using live view but this can be turned off.
10.0|#|Allows use of AA batteries with an adapter. Weather/dust sealed. Old lenses can be used. Does everything I will ask it to do.|#|Can't think of any
10.0|#|This is an excellent testbed for vintage m42 lenses, the only sensible choice in fact. Pentax have engineered to make this possible, it is a great feature that massively enlarges the capability of this camera. I hope Pentax continue to understand the market this well, if they do I'll be a committed user.|#|

8.0|#|A really nice camera.  Good design.  Feature of a viewfinder and use of screen when taking pictures is very handy.  Good picture quality.  Still learning as I go along.|#|The camera is quite heavy.
8.0|#|I can use my old lenses.|#|Grip is small
9.0|#|Compatible with all K-r accessories|#|



8.0|#|Environmental protection, ease of use. Good take anywhere size and quality.|#|Minor niggle on battery life, but seems better over time.
10.0|#|Great sturdy camera, macro mode is brilliant and able to take wide angle pictures|#|No bad points
9.0|#|love it ++++|#|
10.0|#|Excellent quality camera, well built and solid feel, well suited to its intended market.|#|My only bad point is that the camera was designed to use SD cards and not compact flash, or both!
10.0|#|Amazing camera and for the price you can not go wrong, one of the best DSLR's I've ever owned. Pictures are amazing and well recommended.|#|When the ISO is too high the picture quality isn't amazing.
10.0|#|Exceptional build quality, lots of features, very easy to use. Best camera I ever had.|#|Picture noises above ISO1600.
10.0|#|Really easy to use. All the features are easy to access. There are also a lot of extra features available which other brands of the same level do not offer.  The camera is really well made and doesn't feel flimsy at all|#|The sd card is a little fiddly to get at but I can live with that!
10.0|#|Great camera.|#|None.
10.0|#|light, easy to carry when travelling, looks cute and classy|#|the battery can only supply power for about 250 photographs. I recommend you to get extra battery just in case your camera have low power in the middle of the journey


10.0|#|Amazing image quality, better than equivalent priced Nikons and Canons.|#|None yet!
9.0|#|Sensor quality, build quality, weather resistance|#|Can't get a Flucard yet
