9.0|#|The Video is excellent if you want a portable video system this is quite a nice little gem, Image quality it's hard to say as i haven't taken many pictures but so far looks good. Its a fun camera with a lot of features also for me it doesn't look like a big expensive DLSR and it is light this means i can take it to places i can't with a DLSR and worry about it getting stolen as much. It's a bit like having camo you can say its a £150 camera and people wouldn't question it.  Its a cool camera and most problems iv'e come across if found a solution for either via the menu or change in approach.|#|It's not a DLSR don't expect it to be one, when the camera goes to sleep it resets the lens, no timer on the HDR bracket feature but this can be fixed by getting a remote. no Mic in but again not a massive deal. You will find a lot of positive reviews on this camera and it does hold up well to them if you are used to DLSR's this camera will feel odd at first but it grows on you it is fun I jsut wish there was a wake sleep button rather than having to wait for it to sleep before you put it away as the EVF keeps the camera on if its in your pocket (maybe i just haven't found the option yet). In general Mirror less cameras have come a long way they don't replace DLSR's the boot time is too long compared.
10.0|#|menus are much easier to use than my previous Nex`s. Autofocus is impressive. More buttons, dials for easier adjustments. Zebra for videoing. Not too different from my other Nex cameras. Lovely Raw pictures with new sensor. Very interesting NR ISO...(I like doing night photography). Better low light shooting ability.|#|No touch screen which I miss a bit for focusing using the screen. No Microphone port. Again not a deal breaker as the camera`s predominantly used for photography however the video abilities are very impressive!
8.0|#|Compared to key rivals and overall package made this a worth while upgrade from canon G11|#|Expensive product but worth it for the quality of shots received
10.0|#|Easy to use and handle; the ability of a DSLR in a compact form.  The image quality is breathtaking and the Electronic Viewfinder helps the user to frame the perfect shot and get a brief glimpse of the image after the shot.  There are too many excellent features to mention but the professional test results and comparisons across many UK and US websites are testament to the outstanding features of this small but very capable camera.|#|Lacks the ability to charge the battery externally, but considering all the other excellent features this inconvenience is a acceptable compromise.
10.0|#|Fantastic Image Quality. Light weight and compact.|#|Some of the setting are a bit too deep in the menu system. Would be good to be able to assign any function to the fn button.
9.0|#|Bought for viewfinder and it doesn't disappoint.|#|Feels a little less 'solid' than the NEX-5r and a tad bigger.
8.0|#|everything you need inside a lightweight small camera|#|lcd is hard to see in daylight
10.0|#|Simple to use|#|
8.0|#|Capable of really sharp landscape pictures|#|
10.0|#|Large images and shoots RAW.|#|
9.0|#|NFC|#|No touch screen
8.0|#|Image stabilisation worked very well standing in a half-gale. Like seeing the histogram in the viewfinder, the tilting preview screen, interchangeable lens, healthy file size, raw file option, fast auto focus.|#|The manual is pathetic, find a better one on the Sony website. Also find a v. cheap charge unit (plus 2 batteries) on ebay. Could do with a case.
10.0|#|Easy to use. Half the weight of my last Sony camera|#|SD card hard to remove.
9.0|#|Like the viewfinder as well as the LCD screen. Can buy extra lenses e.g. telephoto.|#|Rather expensive.
8.0|#||#|There is no comprehensive guide to using it.
